year,popularity,genre
2004,46.0,R&B
2008,78.0,R&B
2000,65.0,R&B
2000,64.0,R&B
2000,52.0,R&B
2010,1.0,R&B
2015,71.0,R&B
2006,71.0,R&B
2006,63.0,R&B
2006,76.0,R&B
2017,76.0,R&B
2017,67.0,R&B
2008,56.0,R&B
2001,53.0,pop
2019,35.0,pop
2009,0.0,pop
2013,39.0,pop
2012,72.0,pop
2014,78.0,pop
2014,70.0,pop
2016,67.0,pop
2016,68.0,pop
2004,16.0,pop
2004,28.0,pop
2004,21.0,pop
2006,58.0,pop
2006,53.0,pop
2006,52.0,pop
2008,69.0,pop
2008,65.0,pop
2001,63.0,pop
2001,58.0,pop
2002,60.0,pop
2004,57.0,pop
2003,48.0,pop
2016,79.0,pop
1999,73.0,pop
2003,44.0,pop
2001,47.0,pop
2010,42.0,pop
2006,69.0,pop
2006,57.0,pop
2000,52.0,pop
2000,55.0,pop
2001,68.0,pop
2001,60.0,pop
2006,0.0,pop
2008,76.0,pop
2010,46.0,pop
2010,60.0,pop
2010,76.0,pop
2012,76.0,pop
2012,71.0,pop
2013,48.0,pop
2015,68.0,pop
2006,59.0,pop
2001,65.0,pop
2006,46.0,pop
2001,77.0,pop
2012,77.0,pop
2000,65.0,pop
2000,60.0,pop
2001,45.0,pop
2001,50.0,pop
2014,64.0,pop
2004,56.0,pop
2014,77.0,pop
2018,7.0,pop
2019,4.0,pop
2003,69.0,pop
2000,58.0,pop
2000,53.0,pop
2003,53.0,pop
2005,74.0,pop
2005,61.0,pop
2009,71.0,pop
2008,57.0,pop
2015,77.0,pop
2000,62.0,pop
2010,77.0,pop
2013,0.0,pop
2002,63.0,pop
2019,57.0,pop
2017,65.0,pop
2017,61.0,pop
2017,78.0,pop
2019,79.0,pop
2012,62.0,pop
2017,59.0,pop
2002,77.0,pop
2007,62.0,pop
2010,67.0,pop
2012,74.0,pop
2012,82.0,pop
2012,66.0,pop
2014,79.0,pop
2014,0.0,pop
2018,68.0,pop
2017,0.0,pop
2018,73.0,pop
2005,79.0,pop
2009,67.0,pop
2009,73.0,pop
2000,68.0,pop
2003,57.0,pop
2005,1.0,pop
2020,39.0,pop
1999,64.0,pop
2004,65.0,pop
1999,56.0,pop
2019,1.0,pop
2013,71.0,pop
2008,77.0,pop
2008,70.0,pop
2009,80.0,pop
2009,69.0,pop
2011,72.0,pop
2011,67.0,pop
2018,82.0,pop
2019,43.0,pop
2012,73.0,pop
2014,80.0,pop
2014,62.0,pop
2015,66.0,pop
2017,79.0,pop
2019,73.0,pop
2019,75.0,pop
2006,64.0,pop
2007,58.0,pop
2010,57.0,pop
2017,73.0,pop
