popularity,danceability,energy,loudness,tempo,genre,hit
46.0,0.706,0.665,-5.348,89.993,R&B,False
78.0,0.727,0.729,-2.99,117.932,R&B,True
65.0,0.869,0.887,-4.505,129.221,R&B,False
64.0,0.779,0.834,-2.773,100.46,R&B,False
52.0,0.839,0.641,-5.669,97.004,R&B,False
1.0,0.84,0.482,-7.116,95.498,R&B,False
71.0,0.513,0.768,-4.868,84.264,R&B,False
71.0,0.407,0.558,-13.609,71.815,R&B,False
63.0,0.705,0.806,-3.607,103.383,R&B,False
76.0,0.403,0.422,-13.964,122.728,R&B,True
76.0,0.602,0.707,-4.097,75.087,R&B,True
67.0,0.564,0.745,-7.733,170.661,R&B,False
56.0,0.671,0.701,-5.035,131.977,R&B,False
53.0,0.519,0.874,-5.122,96.072,pop,False
35.0,0.645,0.862,-4.757,119.991,pop,False
0.0,0.894,0.93,-4.577,120.02,pop,False
39.0,0.705,0.783,-5.971,140.022,pop,False
72.0,0.727,0.937,-2.871,132.067,pop,False
78.0,0.399,0.787,-2.88,117.089,pop,True
70.0,0.421,0.791,-4.998,130.075,pop,False
67.0,0.592,0.8,-4.931,89.972,pop,False
68.0,0.668,0.725,-6.127,191.944,pop,False
16.0,0.818,0.579,-4.475,89.987,pop,False
28.0,0.878,0.699,-5.897,104.838,pop,False
21.0,0.629,0.532,-7.88,90.098,pop,False
58.0,0.94,0.743,-5.166,118.988,pop,False
53.0,0.865,0.45,-9.387,99.989,pop,False
52.0,0.801,0.454,-6.035,125.139,pop,False
69.0,0.83,0.857,-4.194,137.982,pop,False
65.0,0.74,0.945,-4.442,130.015,pop,False
63.0,0.721,0.737,-2.734,97.996,pop,False
58.0,0.582,0.707,-4.487,78.375,pop,False
60.0,0.683,0.722,-4.039,95.012,pop,False
57.0,0.564,0.6,-6.814,78.955,pop,False
48.0,0.6,0.736,-6.228,158.108,pop,False
79.0,0.774,0.753,-5.446,119.002,pop,True
73.0,0.725,0.583,-9.942,79.984,pop,False
44.0,0.512,0.525,-6.823,169.951,pop,False
