popularity,danceability,energy,loudness,tempo,genre
46,0.706,0.665,-5.348,89.993,0
78,0.727,0.729,-2.99,117.932,0
65,0.869,0.887,-4.505,129.221,0
64,0.779,0.834,-2.773,100.46,0
52,0.839,0.641,-5.669,97.004,0
1,0.84,0.482,-7.116,95.498,0
71,0.513,0.768,-4.868,84.264,0
71,0.407,0.558,-13.609,71.815,0
63,0.705,0.806,-3.607,103.383,0
76,0.403,0.422,-13.964,122.728,0
76,0.602,0.707,-4.097,75.087,0
67,0.564,0.745,-7.733,170.661,0
56,0.671,0.701,-5.035,131.977,0
53,0.519,0.874,-5.122,96.072,7
35,0.645,0.862,-4.757,119.991,7
0,0.894,0.93,-4.577,120.02,7
39,0.705,0.783,-5.971,140.022,7
72,0.727,0.937,-2.871,132.067,7
78,0.399,0.787,-2.88,117.089,7
70,0.421,0.791,-4.998,130.075,7
67,0.592,0.8,-4.931,89.972,7
68,0.668,0.725,-6.127,191.944,7
16,0.818,0.579,-4.475,89.987,7
28,0.878,0.699,-5.897,104.838,7
21,0.629,0.532,-7.88,90.098,7
58,0.94,0.743,-5.166,118.988,7
53,0.865,0.45,-9.387,99.989,7
52,0.801,0.454,-6.035,125.139,7
69,0.83,0.857,-4.194,137.982,7
65,0.74,0.945,-4.442,130.015,7
63,0.721,0.737,-2.734,97.996,7
58,0.582,0.707,-4.487,78.375,7
60,0.683,0.722,-4.039,95.012,7
57,0.564,0.6,-6.814,78.955,7
48,0.6,0.736,-6.228,158.108,7
79,0.774,0.753,-5.446,119.002,7
73,0.725,0.583,-9.942,79.984,7
44,0.512,0.525,-6.823,169.951,7
47,0.631,0.821,-7.853,118.007,7
42,0.817,0.939,-6.079,128.0,7
69,0.675,0.828,-5.799,122.229,7
57,0.673,0.913,-4.981,124.484,7
52,0.742,0.732,-6.046,97.922,7
55,0.822,0.847,-6.729,107.908,7
68,0.802,0.903,-3.267,128.93,7
60,0.624,0.85,-4.754,98.525,7
0,0.683,0.886,-5.045,100.04,7
0,0.688,0.734,-4.569,140.004,7
0,0.709,0.891,-3.688,141.04,7
76,0.534,0.87,-3.078,126.019,7
46,0.614,0.792,-4.907,91.066,7
60,0.563,0.671,-4.788,91.964,7
76,0.7,0.709,-5.006,122.019,7
76,0.674,0.628,-7.079,103.998,7
71,0.457,0.823,-4.76,192.205,7
68,0.632,0.702,-5.92,162.958,7
48,0.474,0.707,-4.534,83.235,7
68,0.383,0.43,-8.644,107.005,7
59,0.489,0.955,-2.771,129.352,7
65,0.643,0.981,-6.644,140.01,7
46,0.656,0.624,-4.623,124.082,7
77,0.481,0.638,-5.862,79.064,7
77,0.765,0.837,-3.113,122.028,7
65,0.614,0.928,-4.806,172.656,7
60,0.644,0.874,-4.666,165.09,7
45,0.699,0.403,-8.564,113.922,7
50,0.745,0.807,-5.191,93.967,7
64,0.65,0.786,-5.488,124.96,7
56,0.809,0.965,-3.947,130.103,7
77,0.545,0.783,-4.261,174.084,7
7,0.719,0.704,-4.724,133.002,7
4,0.682,0.656,-4.67,130.089,7
69,0.801,0.645,-6.93,110.01,7
58,0.736,0.802,-8.527,119.854,7
58,0.631,0.734,-7.48,124.036,7
53,0.699,0.618,-7.338,99.965,7
53,0.792,0.797,-5.166,123.993,7
74,0.649,0.647,-7.695,125.02,7
61,0.589,0.877,-6.229,132.971,7
71,0.753,0.931,-4.922,113.029,7
57,0.837,0.954,-3.512,127.019,7
77,0.509,0.671,-5.709,118.413,7
62,0.634,0.677,-7.278,135.012,7
77,0.791,0.59,-9.206,119.951,7
0,0.733,0.818,-7.222,116.019,7
63,0.571,0.953,-5.601,137.965,7
57,0.786,0.658,-2.61,170.037,7
65,0.532,0.868,-4.23,110.127,7
61,0.763,0.72,-5.181,116.01,7
78,0.836,0.544,-5.975,97.028,7
79,0.794,0.793,-4.521,123.941,7
57,0.741,0.869,-6.534,126.069,7
62,0.54,0.856,-3.966,153.071,7
59,0.583,0.785,-3.991,91.977,7
77,0.712,0.862,-4.612,95.051,7
62,0.803,0.851,-2.429,113.996,7
67,0.703,0.81,-4.874,102.978,7
77,0.722,0.761,-4.459,128.044,7
74,0.716,0.821,-3.435,92.997,7
82,0.743,0.752,-4.813,110.015,7
66,0.656,0.674,-5.473,120.001,7
79,0.279,0.742,-6.46,189.868,7
0,0.737,0.723,-5.51,120.003,7
0,0.744,0.783,-7.077,120.042,7
68,0.783,0.61,-6.124,100.047,7
0,0.697,0.716,-6.288,99.905,7
73,0.851,0.541,-6.825,124.959,7
63,0.822,0.672,-6.133,117.033,7
60,0.585,0.702,-5.734,139.909,7
79,0.64,0.743,-4.08,122.035,7
67,0.23,0.492,-5.767,160.139,7
